Gene_Hugo_Symbol,Entrez_Gene_Id,is_common
FBXL2,25827,True
MPDZ,8777,True
GOSR2,9570,True
CENPL,91687,True
C21orf128,0,True
DHX57,90957,True
VMP1,81671,True
KDR,3791,True
FAM111B,374393,True
NME1,4830,True
SERTM1,400120,True
SPRR2E,6704,True
KCNQ5,56479,True
MLIP,90523,True
PGS1,9489,True
MARCH1,55016,True
KCNH1,3756,True
TMEM8C,389827,True
IVNS1ABP,10625,True
WDR83OS,51398,True
TCIRG1,10312,True
NLE1,54475,True
TIGD7,91151,True
LYN,4067,True
MYOM3,127294,True
C1orf123,54987,True
RASSF8,11228,True
MBOAT7,79143,True
DKK4,27121,True
NGLY1,55768,True
ST8SIA4,7903,True
TBC1D12,23232,True
DNAJC11,55735,True
PBDC1,51260,True
FILIP1L,11259,True
SKA2,348235,True
GZMB,3002,True
WDR11,55717,True
MYPOP,339344,True
PDCD2L,84306,True
ASB5,140458,True
ITSN2,50618,True
FAXDC2,10826,True
PIGX,54965,True
ANKHD1-EIF4EBP3,54882,True
PCSK2,5126,True
GGA3,23163,True
DNAJC13,23317,True
GPX1,2876,True
CTD-3214H19.16,0,True
DUSP26,78986,True
ILF2,3608,True
LYPD3,27076,True
RPS6KC1,26750,True
CGB8,1082,True
TENC1,23371,True
LGALS9,3965,True
PDIA3,2923,True
C9orf16,79095,True
HOMER2,9455,True
IL36A,27179,True
GID8,54994,True
ZBBX,79740,True
BRPF1,7862,True
CCR5,1234,True
ZNF44,51710,True
FBXO27,126433,True
C17orf89,284184,True
MAGEA2,4101,True
GNL3L,54552,True
ALDH3A1,218,True
FAS,355,True
CSPP1,79848,True
NDNF,79625,True
PARN,5073,True
DECR2,26063,True
SMAD9,4093,True
TOP1MT,116447,True
LENG1,79165,True
POLR3F,10621,True
VAMP3,9341,True
OR1F1,4992,True
XKR6,286046,True
PPBP,5473,True
CLK3,1198,True
ERMAP,114625,True
CDR1,1038,True
STXBP6,29091,True
NR2C2AP,126382,True
C2orf54,79919,True
PBLD,64081,True
IKZF1,10320,True
ODC1,4953,True
STYXL1,51657,True
FAM105A,54491,True
ABCB5,340273,True
FAM86A,196483,True
CD81,975,True
TMX4,56255,True
NFKBID,84807,True
REEP2,51308,True
RNPS1,10921,True
IYD,389434,True
BAIAP2,10458,True
FEZF1,389549,True
ROBO2,6092,True
CCNC,892,True
C17orf99,100141515,True
MFNG,4242,True
PNPLA6,10908,True
DMRTA1,63951,True
RP2,6102,True
STIL,6491,True
FREM1,158326,True
DBF4,10926,True
MESDC2,23184,True
AARD,441376,True
ZNF626,199777,True
PPWD1,23398,True
ZC2HC1C,79696,True
CD33,945,True
CLDND2,125875,True
RAD21,5885,True
TMED5,50999,True
TXNDC9,10190,True
LMAN2L,81562,True
RNFT2,84900,True
ART1,417,True
FERMT3,83706,True
DUSP8,1850,True
CTPS1,1503,True
GADD45G,10912,True
SYTL2,54843,True
HSPA14,51182,True
ABCF2,10061,True
SZT2,23334,True
PPP1R3C,5507,True
PLCH2,9651,True
CUL2,8453,True
DNAH11,8701,True
ARMCX3,51566,True
TEC,7006,True
MATN3,4148,True
KLHL12,59349,True
GPRIN1,114787,True
THOP1,7064,True
TMEM178A,130733,True
ADRA2B,151,True
SUPV3L1,6832,True
PPP1R13L,10848,True
CABLES2,81928,True
SEC61G,23480,True
PSMB5,5693,True
LIN7C,55327,True
PARP14,54625,True
EPS8L2,64787,True
WIPI2,26100,True
KLRD1,3824,True
NOLC1,9221,True
GCHFR,2644,True
SPRTN,83932,True
MYLIP,29116,True
C16orf71,146562,True
PNO1,56902,True
MRPL28,10573,True
MT-CO1,4512,True
ALOX5AP,241,True
MBD6,114785,True
RRN3,54700,True
DOPEY1,23033,True
CLIC3,9022,True
SSX2IP,117178,True
SGIP1,84251,True
TRIM28,10155,True
CILP2,148113,True
SLC23A1,9963,True
TTPA,7274,True
ZNF763,284390,True
IPO13,9670,True
ATP6V1C1,528,True
ATRIP,84126,True
C7orf60,154743,True
ZNF331,55422,True
CCDC88B,283234,True
TBX15,6913,True
PYCR1,5831,True
GPR126,57211,True
NFATC2IP,84901,True
SCN1A,6323,True
