Gene_Hugo_Symbol,Entrez_Gene_Id,r_value_pearson
RHBDF2,79651,0.21196228311863927
LAMTOR4,389541,-0.01808293048856162
VTN,7448,-0.14340906602498973
NPIPA8,101059938,0.7878273033320354
KIF5B,3799,0.38051225726875765
SYNE4,163183,0.18223953737585807
SNN,8303,-0.02148539487256062
ST6GALNAC5,81849,0.020517203076432407
CAMKK1,84254,0.28653028741082454
PSMB7,5695,0.07454569503569013
UBE2H,7328,-0.18245497044715625
ASB11,140456,-0.06608708458501544
PHF6,84295,-0.00566859186778193
ERC1,23085,0.04411501701564877
NUDCD1,84955,0.118344095391754
CAPZA2,830,0.11463311802554318
ARHGAP29,9411,0.027379406583883242
AGTR1,185,0.04199467922302471
FAM163B,642968,0.06406673606103488
RGS8,85397,-0.04597395825147453
SLC6A3,6531,0.15177411360244447
FAM72C,0,0.12543586738461143
WDR66,144406,-0.015130899637390428
RCAN2,10231,0.0780336322641451
CLEC4E,26253,0.616564409790233
NTN3,4917,-0.029897954807419816
SEPN1,57190,-0.09190166267251698
SYT3,84258,-0.020754044287839453
PEX3,8504,0.16799889496976042
GDF1,2657,0.059742925368840134
ST14,6768,0.3778773629605702
NPL,80896,-0.07821787594206786
CIAPIN1,57019,0.10112681254042885
RBMS3,27303,0.15357279727787243
AL138847.1,0,0.13392060699481717
ZFX,7543,0.30052891912081003
DNAJB1,3337,0.18847628585560555
TRIP11,9321,0.19568671113167574
EIF3E,3646,0.20119356808348787
SDAD1,55153,0.1493065384157914
ACVRL1,94,0.15122234009852248
PLB1,151056,0.2797299466958938
MAP3K4,4216,0.06530402900134386
HIST1H2BL,8340,0.19449885605572784
TARS2,80222,0.213700737267166
PUS7,54517,-0.1111381003040617
ZNF132,7691,0.14519784201248181
DPF1,8193,-0.10145753790027759
RMI2,116028,0.040397936579058574
C6orf10,10665,-0.09433673277527062
ZNF516,9658,-0.03497054633604153
ZNRD1,30834,-0.21725902495351399
IGSF10,285313,0.03343867478542736
PCDHGA9,56107,0.048096549672177434
ANKRD7,56311,-0.1574682627368174
MTCH2,23788,-0.17166638818444224
FOSB,2354,0.09748947040820057
KCNJ14,3770,-0.11763297812577862
MID2,11043,0.2087507464687202
ZNF177,7730,-0.08087948862831193
JPH2,57158,0.08687954807072919
CRIP2,1397,-0.13219129984315842
C16orf58,64755,0.3012426871391115
PALMD,54873,0.21569677953409983
GINM1,116254,0.305473919971464
APOBEC3C,27350,0.17422662597507013
PSENEN,55851,0.25420450073051665
CSN1S1,1446,-0.042569864879254106
CYP24A1,1591,0.07592807824734511
IGFALS,3483,0.1889130691771492
ZNF705A,440077,-0.054310314086864916
CCT4,10575,-0.2970178280391
BEND7,222389,-0.051827340504447754
FLJ27365,0,0.029742211040797044
CXorf36,79742,0.08889287209308872
CDH26,60437,-0.10657955386328163
LRRC46,90506,0.20305547946228503
RPL35A,6165,-0.09835746084550719
C5orf55,116349,0.1316163110870251
PIWIL3,440822,0.02412025289071887
NPRL3,8131,-0.08785148785807274
S1PR3,1903,-0.1863371333296397
FOXA2,3170,0.0045175750414363745
MSI2,124540,-0.17118700772633266
RPL21,6144,-0.09499299311120377
ISLR,3671,0.3499528768785355
TRUB2,26995,0.10798307213892155
EVC,2121,-0.11760981777803699
CEP57L1,285753,0.2974956527740658
PANX3,116337,0.02893478285033521
ENTPD1,953,0.2436278491554045
SERPINA12,145264,-0.061434869068138886
EXOSC2,23404,0.03494704527306343
UTP6,55813,0.11989206777567643
MT1F,4494,-0.028624310806815732
SH3YL1,26751,0.32654635255102565
SORBS1,10580,-0.00028602775972065564
MTMR2,8898,0.10509648040497568
RAB39A,54734,-0.046562145990294
NOC2L,26155,0.09864481200525461
ZNF568,374900,-0.05234632397737016
MT-ND1,4535,0.02941338578037993
MAP3K7,6885,0.16233074707039144
VWA3A,146177,0.42406448353087417
STEAP1,26872,0.19473954229377238
PIK3C2A,5286,0.036869609230950805
LCN2,3934,-0.05140889909673088
PNOC,5368,-0.09512695909999644
DNM2,1785,-0.015063451618043053
CYTH1,9267,0.23130185730311775
FAM195B,348262,0.4180203260853963
RNF8,9025,0.1535832749712597
OR51I1,390063,-0.1611341670347719
ALMS1,7840,0.33370592740358923
CYP7B1,9420,0.07395362568529362
TRIQK,286144,0.06044804802307603
SLC25A3,5250,0.20669785602449006
