Gene_Hugo_Symbol,Entrez_Gene_Id,r_value_spearman
LFNG,3955,-0.21913795179807954
SCML2,10389,-0.21912676831047975
COMMD10,51397,-0.2190158114782116
WNT16,51384,-0.21885134438385825
DERL2,51009,-0.21872598228690204
ZNF43,7594,-0.218611141786727
PSMA2,5683,-0.2186111387594659
OTUD7B,56957,-0.2185451145228885
CTAGE5,4253,-0.2179625835736066
NCBP1,4686,-0.2179114623284303
ZNF649,65251,-0.2178403367662827
SNAP91,9892,-0.21782920858351232
PLAG1,5324,-0.21770243012198637
SLC9A8,23315,-0.21763887123932055
SMAD2,4087,-0.21757935616098487
FAM103A1,83640,-0.21732760577938792
C17orf53,78995,-0.2170300646053
RAF1,5894,-0.2165654616496405
LSM10,84967,-0.21648296388304875
BARD1,580,-0.21633633939538982
FAM63A,55793,-0.2162233700714391
PHLPP1,23239,-0.2161474047930532
VEGFB,7423,-0.21590200272417165
MDC1,9656,-0.21573195784241173
ABLIM1,3983,-0.2155774917332891
AL033381.1,0,-0.2155560842415637
SEC61G,23480,-0.21550730431342907
CBS,875,-0.21545037736646847
RBM15,64783,-0.21542674733206424
FAM58A,92002,-0.21534766925608598
ZNF362,149076,-0.2152704412783487
GNAT3,346562,-0.2150780158224722
IRS2,8660,-0.2149719009156481
RP11-162P23.2,0,-0.21479880583269864
SHANK2,22941,-0.21472835098815313
TOP2B,7155,-0.21468030961024018
KAZALD1,81621,-0.21463906657482298
POLR3E,55718,-0.21438012661058375
COL4A3,1285,-0.21423940504622146
POM121C,100101267,-0.21418961521969526
SLC22A11,55867,-0.21413517585450953
MLLT11,10962,-0.21337304871352325
RP11-343C2.7,0,-0.21332752662233853
NDUFB11,54539,-0.21331956043684996
UQCR10,29796,-0.21305331511818484
GOLM1,51280,-0.2130127783871788
SAR1B,51128,-0.2129694160150147
ATP6V1E1,529,-0.2129450041280647
ANG,283,-0.21292538398905014
KIAA0368,23392,-0.21250271025340908
LRRC28,123355,-0.21249970717457523
IAH1,285148,-0.21216929172979768
LARP6,55323,-0.21214158806466618
MKRN1,23608,-0.21211175936370985
ZER1,10444,-0.21206662629387632
SRFBP1,153443,-0.2120244045490403
TMEM235,283999,-0.21150459126568147
CXorf40A,91966,-0.2114331028969902
ANKRD33,341405,-0.2114031816131719
HID1,283987,-0.21139344478233307
WDR17,116966,-0.2113301823764737
DHX33,56919,-0.21101556592401818
ZNF282,8427,-0.2104896487874089
KLK14,43847,-0.21046439058030314
NME2,4831,-0.21039865732349736
PIP4K2B,8396,-0.2102557993160581
ERLEC1,27248,-0.2102392910951797
GSTO1,9446,-0.21010403266681413
TNS1,7145,-0.21007636545049804
KCTD3,51133,-0.2099966412404276
PPP1R27,116729,-0.20986375461181145
PRMT5,10419,-0.20971426637845975
IL24,11009,-0.20940899890032394
FAM169A,26049,-0.2093140551445864
GPR52,9293,-0.20867432268602906
ARPC3,10094,-0.20855756294445515
MPDZ,8777,-0.20842540205704563
WNT6,7475,-0.2080000317526969
C8orf86,389649,-0.20789561341700244
MAST2,23139,-0.20760655806095196
C7orf76,401388,-0.20701759763708066
ULK2,9706,-0.2069462480057387
CEP170,9859,-0.20684602832086643
NPY2R,4887,-0.20673536696244355
AP2B1,163,-0.2066687558644387
TAC4,255061,-0.20666641621563175
LTF,4057,-0.20655540887213242
PELI2,57161,-0.20652959217247807
ABI2,10152,-0.20646247586802907
GLYAT,10249,-0.20620232436543715
SEC22C,9117,-0.20606322762565796
PMM1,5372,-0.2060377561138765
CTD-2600O9.1,0,-0.20588376560999042
CHD6,84181,-0.2057608247003199
FXYD2,486,-0.20564293580801965
FGFBP2,83888,-0.20542682200663714
EPHB6,2051,-0.20527781803434242
TCEB3B,51224,-0.20512014047447882
SRGAP2,23380,-0.20465406743633108
SRPRB,58477,-0.2046398814120366
GLIPR1L1,256710,-0.20454488799880216
ZFP28,140612,-0.20452034984908937
ZBTB4,57659,-0.20445919936068646
RP11-758M4.1,0,-0.20443525265374235
AC007919.2,0,-0.20441798382061738
MAML3,55534,-0.20433206208329027
GHITM,27069,-0.2043292369086515
UBE2E2,7325,-0.20413163960872407
HIST1H1A,3024,-0.20385324894151544
SV2C,22987,-0.20358561090698607
AMBN,258,-0.20336314359233718
WWP2,11060,-0.20328761811149296
PAX2,5076,-0.2031323793957956
GPR35,2859,-0.203074341240264
SFN,2810,-0.20291073325317419
S100A11,6282,-0.20252252959416395
CLSTN3,9746,-0.20239696626717
STPG2,285555,-0.20238324043820874
PRPF4,9128,-0.202359216771401
PSMC1,5700,-0.20234265267409599
PRDM13,59336,-0.2021938965399074
OR52B4,143496,-0.202175721087889
PRB4,5545,-0.20215408528911252
MSRB1,51734,-0.20211871584348826
CCL17,6361,-0.2021130988696511
SCT,6343,-0.20195908251188677
TPPP,11076,-0.20189213873350698
ZNF81,347344,-0.20183508746288645
AGAP3,116988,-0.201625015076646
GGN,199720,-0.20140256589403707
PPP1CB,5500,-0.20116282147869766
PABPN1L,390748,-0.20111617907420049
TTBK1,84630,-0.20101962737408727
HAO1,54363,-0.20093409049180605
MRPS24,64951,-0.20092291429786358
COL4A6,1288,-0.2009220132935214
FMO5,2330,-0.20082607065490146
FABP4,2167,-0.20020652318482357
KLHDC8B,200942,-0.20016332020366986
PPAT,5471,-0.20007686233609603
GDAP1L1,78997,-0.20004472163264678
TTC5,91875,-0.1998078540266487
ASAP1,50807,-0.19963493223071715
ZNF684,127396,-0.19951963498009023
GDF5,8200,-0.19938053740530579
TNS3,64759,-0.19935158869356556
PPP1R36,145376,-0.19933235812193956
TFAP2C,7022,-0.19929381337183594
C20orf62,140834,-0.19908843388457073
PTCD2,79810,-0.1990489459042444
GIT1,28964,-0.19902481899497343
HFE2,148738,-0.19897897448925872
HIST2H3PS2,0,-0.19883000476561558
PHLDB1,23187,-0.1987607494577972
RAB3A,5864,-0.19869839964569203
CTDSP1,58190,-0.19853948432955373
RHOF,54509,-0.19844871938728345
PRRG2,5639,-0.19836676154025146
LGI1,9211,-0.19807533250569143
GPR78,27201,-0.19803470927489986
SPINK5,11005,-0.19792016998959688
RSF1,51773,-0.19788115962179073
PHLPP2,23035,-0.19782885465765399
COMMD9,29099,-0.1977855710923912
SH2D2A,9047,-0.19769927237383148
SYT7,9066,-0.19763700201644452
NMB,4828,-0.19762219429162364
CGB,1082,-0.19759940628598044
SPIC,121599,-0.1974905274036852
EYS,346007,-0.19748283018172205
TMEM133,83935,-0.19744932634625742
FUT6,2528,-0.19744488942285957
RHOBTB1,9886,-0.19740602909417715
RBPJL,11317,-0.1972131323825942
C2CD3,26005,-0.19716111080484927
NAGS,162417,-0.19693076662609313
HOXD1,3231,-0.1969264022398635
EFCAB8,388795,-0.19686576831827737
KMT2A,4297,-0.19677210451724275
CC2D2A,57545,-0.19674847600494896
SYT2,127833,-0.19659333901077766
C6orf1,221491,-0.19656066887889956
TEAD4,7004,-0.19654137830179272
FUCA1,2517,-0.196315334358186
OR8S1,341568,-0.19621486540977406
CFHR4,10877,-0.1959755902138314
PIAS3,10401,-0.19589709238324976
KIAA1210,57481,-0.195673083910033
MYO18B,84700,-0.19551831180750104
HCAR1,27198,-0.19505751959836062
WDFY3,23001,-0.19495556291844784
TUSC5,286753,-0.19491124528420864
XKR6,286046,-0.19475997219900004
DOK4,55715,-0.19469728354118745
NEURL,0,-0.19466922850366705
KIAA0195,9772,-0.19447314810559602
ARRB1,408,-0.194457122275193
C12orf56,115749,-0.19443239846330013
ZNF614,80110,-0.1943897403654626
ABCA3,21,-0.19426965954133898
MYPN,84665,-0.19407145893663086
CNTF,1270,-0.1940674958274788
CDC6,990,-0.19405888308247307
MRGPRD,116512,-0.19382284832614216
CD1D,912,-0.1935878964769013
BAMBI,25805,-0.1935398657371725
ID1,3397,-0.19345774196803678
ZMIZ1,57178,-0.19344923638459322
AURKB,9212,-0.19314634285760812
TAL2,6887,-0.19312983653602572
ENPP1,5167,-0.1928923040536898
